,ZCTA,OWN,RENT
1,ZCTA5 00601,62.3,37.7
2,ZCTA5 00602,78.1,21.9
3,ZCTA5 00603,64.9,35.1
4,ZCTA5 00606,73.4,26.6
5,ZCTA5 00610,76.7,23.3
6,ZCTA5 00612,70.3,29.7
7,ZCTA5 00616,75.1,24.9
8,ZCTA5 00617,78.9,21.1
9,ZCTA5 00622,56.8,43.2
10,ZCTA5 00623,67.9,32.1
11,ZCTA5 00624,77.7,22.3
12,ZCTA5 00627,74.4,25.6
13,ZCTA5 00631,49.0,51.0
14,ZCTA5 00637,76.8,23.2
15,ZCTA5 00638,71.2,28.8
16,ZCTA5 00641,65.7,34.3
17,ZCTA5 00646,80.4,19.6
18,ZCTA5 00647,76.2,23.8
19,ZCTA5 00650,73.0,27.0
20,ZCTA5 00652,78.1,21.9
21,ZCTA5 00653,68.4,31.6
22,ZCTA5 00656,78.1,21.9
23,ZCTA5 00659,71.5,28.5
24,ZCTA5 00660,76.0,24.0
25,ZCTA5 00662,63.1,36.9
26,ZCTA5 00664,71.0,29.0
27,ZCTA5 00667,60.5,39.5
28,ZCTA5 00669,60.9,39.1
29,ZCTA5 00670,66.6,33.4
30,ZCTA5 00674,72.4,27.6
31,ZCTA5 00676,74.6,25.4
32,ZCTA5 00677,78.7,21.3
33,ZCTA5 00678,60.6,39.4
34,ZCTA5 00680,58.4,41.6
35,ZCTA5 00682,59.1,40.9
36,ZCTA5 00683,71.8,28.2
37,ZCTA5 00685,67.5,32.5
38,ZCTA5 00687,77.8,22.2
39,ZCTA5 00688,80.1,19.9
40,ZCTA5 00690,75.0,25.0
41,ZCTA5 00692,78.4,21.6
42,ZCTA5 00693,83.8,16.2
43,ZCTA5 00694,84.7,15.3
44,ZCTA5 00698,77.6,22.4
45,ZCTA5 00703,65.3,34.7
46,ZCTA5 00704,69.5,30.5
47,ZCTA5 00705,79.0,21.0
48,ZCTA5 00707,72.5,27.5
49,ZCTA5 00714,72.0,28.0
50,ZCTA5 00715,75.0,25.0
51,ZCTA5 00716,64.0,36.0
52,ZCTA5 00717,41.5,58.5
53,ZCTA5 00718,75.9,24.1
54,ZCTA5 00719,73.4,26.6
55,ZCTA5 00720,76.1,23.9
56,ZCTA5 00723,75.7,24.3
57,ZCTA5 00725,66.0,34.0
58,ZCTA5 00727,76.9,23.1
59,ZCTA5 00728,75.0,25.0
60,ZCTA5 00729,78.5,21.5
61,ZCTA5 00730,66.3,33.7
62,ZCTA5 00731,77.4,22.6
63,ZCTA5 00735,77.8,22.2
64,ZCTA5 00736,69.9,30.1
65,ZCTA5 00738,74.9,25.1
66,ZCTA5 00739,76.7,23.3
67,ZCTA5 00740,48.8,51.2
68,ZCTA5 00741,79.6,20.4
69,ZCTA5 00745,78.3,21.7
70,ZCTA5 00751,78.8,21.2
71,ZCTA5 00754,70.1,29.9
72,ZCTA5 00757,76.5,23.5
73,ZCTA5 00765,83.2,16.8
74,ZCTA5 00766,76.8,23.2
75,ZCTA5 00767,73.8,26.2
76,ZCTA5 00769,80.6,19.4
77,ZCTA5 00771,72.8,27.2
78,ZCTA5 00772,71.3,28.7
79,ZCTA5 00773,70.7,29.3
80,ZCTA5 00775,72.4,27.6
81,ZCTA5 00777,75.1,24.9
82,ZCTA5 00778,81.1,18.9
83,ZCTA5 00780,78.7,21.3
84,ZCTA5 00782,63.6,36.4
85,ZCTA5 00783,72.5,27.5
86,ZCTA5 00784,71.1,28.9
87,ZCTA5 00786,93.7,6.3
88,ZCTA5 00791,77.3,22.7
89,ZCTA5 00794,67.9,32.1
90,ZCTA5 00795,77.7,22.3
91,ZCTA5 00901,32.0,68.0
92,ZCTA5 00906,100.0,0.0
93,ZCTA5 00907,59.3,40.7
94,ZCTA5 00909,38.6,61.4
95,ZCTA5 00911,53.3,46.7
96,ZCTA5 00912,50.3,49.7
97,ZCTA5 00913,18.4,81.6
98,ZCTA5 00915,43.4,56.6
99,ZCTA5 00917,52.3,47.7
100,ZCTA5 00918,51.1,48.9
101,ZCTA5 00920,59.7,40.3
102,ZCTA5 00921,48.3,51.7
103,ZCTA5 00923,42.1,57.9
104,ZCTA5 00924,54.1,45.9
105,ZCTA5 00925,20.1,79.9
106,ZCTA5 00926,72.5,27.5
107,ZCTA5 00927,59.2,40.8
108,ZCTA5 00934,0.0,100.0
109,ZCTA5 00936,0,0
110,ZCTA5 00949,76.6,23.4
111,ZCTA5 00950,0,0
112,ZCTA5 00951,100.0,0.0
113,ZCTA5 00952,67.1,32.9
114,ZCTA5 00953,81.1,18.9
115,ZCTA5 00956,72.0,28.0
116,ZCTA5 00957,71.1,28.9
117,ZCTA5 00959,66.6,33.4
118,ZCTA5 00960,0,0
119,ZCTA5 00961,70.4,29.6
120,ZCTA5 00962,57.8,42.2
121,ZCTA5 00965,57.5,42.5
122,ZCTA5 00966,80.1,19.9
123,ZCTA5 00968,77.7,22.3
124,ZCTA5 00969,78.0,22.0
125,ZCTA5 00971,69.8,30.2
126,ZCTA5 00976,68.8,31.2
127,ZCTA5 00979,70.9,29.1
128,ZCTA5 00982,68.5,31.5
129,ZCTA5 00983,66.3,33.7
130,ZCTA5 00985,70.1,29.9
131,ZCTA5 00987,77.5,22.5
132,ZCTA5 01001,71.7,28.3
133,ZCTA5 01002,49.3,50.7
134,ZCTA5 01003,0.0,100.0
135,ZCTA5 01005,86.2,13.8
136,ZCTA5 01007,79.2,20.8
137,ZCTA5 01008,96.5,3.5
138,ZCTA5 01009,61.6,38.4
