,ZCTA,TotalPopulation,85andOver,45to54,55to64,65to74,75to84
1,ZCTA5 00601,18088.0,1.5,13.3,12.399999999999999,8.2,4.0
2,ZCTA5 00602,40859.0,1.1,14.6,13.0,8.6,3.5
3,ZCTA5 00603,53162.0,0.7,12.5,12.2,9.899999999999999,5.1
4,ZCTA5 00606,6415.0,2.5,14.5,12.9,8.7,2.9000000000000004
5,ZCTA5 00610,28805.0,1.5,12.8,11.6,9.399999999999999,4.2
6,ZCTA5 00612,66251.0,2.1,13.3,11.5,8.9,4.9
7,ZCTA5 00616,10466.0,3.0,13.7,9.4,11.8,2.2
8,ZCTA5 00617,24917.0,1.2,11.7,10.7,8.8,4.6
9,ZCTA5 00622,6589.0,1.4,10.9,13.1,12.6,7.8
10,ZCTA5 00623,44117.0,1.5,12.7,11.5,10.2,5.4
11,ZCTA5 00624,24902.0,1.3,13.399999999999999,11.5,7.7,3.5
12,ZCTA5 00627,34438.0,1.3,13.0,11.8,9.3,3.8
13,ZCTA5 00631,1847.0,0.0,15.2,12.2,9.0,10.8
14,ZCTA5 00637,24799.0,1.8,11.4,11.8,10.0,4.9
15,ZCTA5 00638,18365.0,1.3,13.8,12.5,8.8,4.1
16,ZCTA5 00641,30183.0,1.6,12.9,13.5,9.8,4.1
17,ZCTA5 00646,38305.0,1.2,13.0,11.1,8.1,3.4
18,ZCTA5 00647,5245.0,2.5,10.5,13.4,13.0,8.6
19,ZCTA5 00650,14679.0,0.9,12.1,11.5,8.8,4.6
20,ZCTA5 00652,3831.0,1.1,9.2,13.1,6.4,6.7
21,ZCTA5 00653,13427.0,0.8,10.6,12.6,10.4,3.3
22,ZCTA5 00656,20839.0,1.4,11.9,12.399999999999999,9.1,4.199999999999999
23,ZCTA5 00659,41830.0,1.6,13.0,11.2,9.600000000000001,3.7
24,ZCTA5 00660,17023.0,2.1,11.6,11.399999999999999,11.899999999999999,6.7
25,ZCTA5 00662,43101.0,1.9,12.4,11.8,9.9,3.7
26,ZCTA5 00664,16298.0,1.9,12.0,11.7,7.2,2.5
27,ZCTA5 00667,25510.0,2.2,12.0,13.0,10.8,4.6
28,ZCTA5 00669,28442.0,1.9,12.8,12.1,9.1,4.2
29,ZCTA5 00670,9478.0,0.6,13.4,12.0,9.8,5.1
30,ZCTA5 00674,43240.0,1.6,12.5,12.3,9.1,4.6
31,ZCTA5 00676,39513.0,1.8,13.1,11.5,8.1,3.2
32,ZCTA5 00677,15012.0,1.0,13.600000000000001,12.5,11.6,5.4
33,ZCTA5 00678,27045.0,1.7,13.5,11.100000000000001,9.0,3.5
34,ZCTA5 00680,54824.0,1.8,12.0,11.5,9.6,4.5
