,GEO.display-label,PoorFucks,HC02_EST_VC09,HC02_EST_VC10,RichFucks
1,ZCTA5 00601,83.6,8.6,5.7,2.2
2,ZCTA5 00602,77.6,9.9,7.5,4.9
3,ZCTA5 00603,75.6,9.8,8.4,6.1
4,ZCTA5 00606,87.19999999999999,9.2,3.5,0.0
5,ZCTA5 00610,75.7,12.8,8.0,3.5
6,ZCTA5 00612,75.0,11.0,9.5,4.4
7,ZCTA5 00616,81.5,9.1,4.8,4.5
8,ZCTA5 00617,80.6,8.5,6.0,4.9
9,ZCTA5 00622,79.0,7.8,6.8,6.6000000000000005
10,ZCTA5 00623,77.3,8.9,8.8,4.8999999999999995
11,ZCTA5 00624,78.4,12.0,6.8,2.8000000000000003
12,ZCTA5 00627,76.60000000000001,9.9,9.2,4.4
13,ZCTA5 00631,84.7,6.2,6.0,3.1
14,ZCTA5 00637,77.5,10.9,6.9,4.7
15,ZCTA5 00638,81.5,10.9,5.5,2.3000000000000003
16,ZCTA5 00641,79.5,10.3,6.4,3.7
17,ZCTA5 00646,56.900000000000006,13.3,13.7,16.1
18,ZCTA5 00647,89.5,5.7,4.1,0.6
19,ZCTA5 00650,78.5,11.6,8.4,1.7000000000000002
20,ZCTA5 00652,78.6,7.7,7.9,5.7
21,ZCTA5 00653,84.5,10.5,3.5,1.6
22,ZCTA5 00656,81.19999999999999,9.1,6.8,3.0000000000000004
23,ZCTA5 00659,73.7,9.8,9.6,7.0
24,ZCTA5 00660,73.6,12.3,9.9,4.199999999999999
25,ZCTA5 00662,77.9,12.2,6.1,3.9
26,ZCTA5 00664,87.4,6.1,3.8,2.7
27,ZCTA5 00667,83.0,10.4,4.0,2.4
28,ZCTA5 00669,81.19999999999999,10.2,6.6,2.0
29,ZCTA5 00670,80.4,12.4,5.5,1.7
30,ZCTA5 00674,72.8,11.6,8.7,7.1
31,ZCTA5 00676,80.9,9.0,7.0,3.1
32,ZCTA5 00677,76.30000000000001,12.0,8.2,3.5
33,ZCTA5 00678,78.9,10.0,8.2,2.9000000000000004
34,ZCTA5 00680,79.4,10.1,6.1,4.300000000000001
35,ZCTA5 00682,74.9,9.4,7.5,8.2
