,2 MAANTHUI Number of houses 1 – 10,3 MGEMOMV Avg size household 1 – 6,4 MGEMLEEF Avg age see L1,10 MRELGE Married,11 MRELSA Living together,12 MRELOV Other relation,13 MFALLEEN Singles,14 MFGEKIND Household without children,15 MFWEKIND Household with children,16 MOPLHOOG High level education,17 MOPLMIDD Medium level education,18 MOPLLAAG Lower level education,30 MHHUUR Rented house,31 MHKOOP Home owners,32 MAUT1 1 car,33 MAUT2 2 cars,34 MAUT0 No car,35 MZFONDS National Health Service,36 MZPART Private health insurance,37 MINKM30 Income < 30.000,38 MINK3045 Income 30-45.000,39 MINK4575 Income 45-75.000,40 MINK7512 Income 75-122.000,41 MINK123M Income >123.000,42 MINKGEM Average income,43 MKOOPKLA Purchasing power class,76 ALEVEN Number of life insurances
0,1,3,2,7,0,2,1,2,6,1,2,7,1,8,8,0,1,8,1,0,4,5,0,0,4,3,0
1,1,2,2,6,2,2,0,4,5,0,5,4,2,7,7,1,2,6,3,2,0,5,2,0,5,4,0
2,1,2,2,3,2,4,4,4,2,0,5,4,7,2,7,0,2,9,0,4,5,0,0,0,3,4,0
3,1,3,3,5,2,2,2,3,4,3,4,2,5,4,9,0,0,7,2,1,5,3,0,0,4,4,0
4,1,4,2,7,1,2,2,4,4,5,4,0,4,5,6,2,1,5,4,0,0,9,0,0,6,3,0
5,1,2,1,0,6,3,3,5,2,0,5,4,9,0,5,3,3,9,0,5,2,3,0,0,3,3,0
6,2,3,2,7,2,0,0,3,6,0,4,5,6,3,8,0,1,9,0,4,3,3,0,0,3,5,0
7,1,2,3,7,2,0,0,5,4,0,3,6,0,9,4,4,2,6,3,2,5,3,0,0,3,3,0
8,1,2,4,6,0,3,3,3,3,0,1,8,9,0,5,2,3,7,2,7,2,1,0,0,2,3,0
9,2,3,3,7,0,2,2,2,6,0,4,5,0,9,6,1,2,6,3,2,3,3,1,0,4,7,0
10,1,4,3,7,1,2,0,3,6,4,3,3,0,9,6,2,1,5,4,0,3,2,2,2,8,7,0
11,1,3,3,7,1,2,2,3,5,1,7,1,6,3,7,1,2,4,5,3,4,3,1,0,3,4,0
12,1,2,3,6,2,3,3,4,3,1,4,5,5,4,6,1,3,7,2,3,4,3,1,0,3,3,0
13,1,3,3,7,1,1,1,4,5,2,4,4,5,4,7,2,0,8,1,3,2,4,1,0,4,4,0
14,1,1,2,1,2,6,5,3,1,2,6,2,9,0,5,1,3,5,4,4,3,3,0,0,3,3,0
15,1,2,3,7,2,0,0,5,4,0,3,6,0,9,4,4,2,6,3,2,5,3,0,0,3,3,0
16,1,2,3,7,0,2,0,6,3,2,6,2,6,3,7,2,0,4,5,0,1,6,2,0,5,4,0
17,2,3,3,7,0,2,0,2,7,2,1,7,4,5,6,1,2,7,2,0,6,3,0,0,4,2,0
18,1,4,2,7,0,2,1,3,6,5,4,1,4,5,7,1,2,5,4,2,2,6,0,0,4,6,0
19,1,2,4,9,0,0,0,6,3,0,0,9,9,0,7,2,0,9,0,5,4,0,0,0,3,1,0
20,1,4,3,9,0,0,0,3,6,0,0,9,9,0,7,2,0,9,0,3,5,2,0,0,3,3,0
21,2,3,3,7,0,2,0,2,7,0,2,7,0,9,7,0,2,9,0,3,6,0,0,0,3,3,0
22,1,3,2,7,0,2,1,3,6,3,5,1,4,5,7,2,1,5,4,1,1,8,0,0,5,6,0
23,2,3,2,7,2,0,0,4,5,0,2,7,2,7,5,4,0,9,0,0,5,4,0,0,4,6,0
24,2,4,3,8,1,1,1,3,6,1,7,2,1,8,8,0,1,4,5,0,5,4,0,0,4,6,0
25,1,3,3,6,0,3,2,3,5,1,2,6,2,7,7,0,2,7,2,0,4,5,0,0,4,3,0
26,1,3,3,7,2,0,0,3,6,3,5,2,8,1,9,0,0,5,4,2,3,3,2,0,5,4,0
27,1,3,3,9,0,0,0,4,5,2,0,7,2,7,7,2,0,7,2,4,2,4,0,0,3,3,0
28,1,4,2,5,0,4,0,0,9,0,0,9,9,0,3,2,4,7,2,9,0,0,0,0,1,1,0
29,2,2,3,5,1,4,4,1,5,0,2,7,8,1,5,1,4,8,1,5,3,2,0,0,3,3,0
30,2,2,2,2,4,3,3,3,3,2,5,3,5,4,7,0,2,9,0,5,3,2,0,0,3,2,0
31,1,2,2,7,1,2,6,0,3,1,8,0,6,3,7,1,2,6,3,4,4,2,0,0,3,3,0
32,1,4,3,8,1,1,1,2,7,2,2,6,4,5,5,4,1,7,2,4,2,4,0,1,4,3,0
33,1,2,3,4,2,4,4,4,3,1,3,5,6,3,6,1,3,8,1,4,3,3,0,0,3,4,0
34,2,4,3,8,1,1,1,3,6,1,7,2,1,8,8,0,1,4,5,0,5,4,0,0,4,6,0
35,1,3,2,6,1,3,1,4,5,2,5,2,6,3,7,1,2,6,3,3,4,3,0,0,3,7,1
36,1,3,2,7,2,0,0,6,3,2,7,0,0,9,7,2,0,7,2,0,6,3,0,0,4,6,0
37,1,3,3,8,1,1,1,5,3,0,3,6,3,6,6,2,2,6,3,2,7,1,1,0,3,4,0
